Name,Steam price,profit
★ Bowie Knife | Ultraviolet (Factory New),247.446,57.15037841813152,
★ StatTrak™ Paracord Knife | Crimson Web (Field-Tested),369.92409999999995,68.79746463469478,
★ StatTrak™ M9 Bayonet | Forest DDPAT (Minimal Wear),152.8749,95.1498637045653,
★ StatTrak™ Nomad Knife | Stained (Field-Tested),114.3125,51.97492621446993,
★ Nomad Knife | Stained (Factory New),189.31329999999997,113.4704725563689,
★ StatTrak™ Karambit | Scorched (Battle-Scarred),118.48379999999999,54.04114930149363,
★ StatTrak™ Navaja Knife | Case Hardened (Well-Worn),69.0949,51.66738884110976,
StatTrak™ Desert Eagle | Golden Koi (Minimal Wear),76.0628,57.849671051402794,
Sticker | B1ad3 (Gold) | Boston 2018,43.306,114.06863879117898,
★ StatTrak™ Gut Knife | Urban Masked (Minimal Wear),52.203199999999995,66.9115832095961,
★ StatTrak™ Ursus Knife | Forest DDPAT (Battle-Scarred),66.9827,55.848165612131936,
★ Survival Knife | Stained (Factory New),156.69219999999999,61.89006920809188,
★ StatTrak™ Navaja Knife | Night Stripe (Minimal Wear),56.244699999999995,53.3253333129789,
★ StatTrak™ M9 Bayonet | Ultraviolet (Well-Worn),122.13,53.867668513633014,
★ StatTrak™ M9 Bayonet | Safari Mesh (Well-Worn),97.7217,50.45570102022341,
★ StatTrak™ Ursus Knife | Night Stripe (Minimal Wear),131.97119999999998,75.41482031076993,
StatTrak™ Glock-18 | Bullet Queen (Factory New),234.74919999999997,58.760362403632605,
★ StatTrak™ M9 Bayonet | Forest DDPAT (Well-Worn),105.99939999999998,61.62958923894596,
★ StatTrak™ Gut Knife | Case Hardened (Minimal Wear),86.3052,52.220360883382234,
★ StatTrak™ Huntsman Knife | Ultraviolet (Well-Worn),83.4614,61.910064405990525,
AK-47 | Legion of Anubis (Minimal Wear),51.418499999999995,52.66875258686367,
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear),40.3501,51.21469885676725,
StatTrak™ AK-47 | Legion of Anubis (Minimal Wear),170.3802,92.89943427705029,
StatTrak™ M4A4 | Tooth Fairy (Factory New),64.2746,52.059553302912576,
StatTrak™ Glock-18 | Vogue (Minimal Wear),34.2908,59.78341907105047,
StatTrak™ AK-47 | Legion of Anubis (Battle-Scarred),39.8191,51.40342205323193,
