Steam Name, BuyOrderPrice
★ StatTrak™ Butterfly Knife | Forest DDPAT (Battle-Scarred),190.66264,
StatTrak™ AUG | Syd Mead (Minimal Wear),6.845720000000001,
StatTrak™ AK-47 | Jaguar (Field-Tested),47.037760000000006,
★ Butterfly Knife | Case Hardened (Well-Worn),265.51476,
StatTrak™ USP-S | Caiman (Field-Tested),12.01704,
StatTrak™ AK-47 | Fire Serpent (Field-Tested),826.0266,
AUG | Stymphalian (Factory New),4.12804,
★ Ursus Knife | Urban Masked (Battle-Scarred),59.40256,
StatTrak™ XM1014 | Tranquility (Factory New),37.558080000000004,
★ Sport Gloves | Omega (Field-Tested),390.97240000000005,
★ Stiletto Knife | Crimson Web (Minimal Wear),179.10284000000001,
★ Butterfly Knife | Night (Field-Tested),235.62028,
StatTrak™ M4A4 | Hellfire (Minimal Wear),46.43884,
★ Huntsman Knife | Boreal Forest (Well-Worn),56.77504,
★ Bloodhound Gloves | Snakebite (Minimal Wear),168.20636,
AK-47 | Cartel (Factory New),9.537640000000001,
StatTrak™ P250 | See Ya Later (Field-Tested),8.41064,
Desert Eagle | Code Red (Minimal Wear),27.18324,
★ Ursus Knife | Ultraviolet (Field-Tested),93.7664,
SG 553 | Tiger Moth (Factory New),3.68368,
StatTrak™ R8 Revolver | Fade (Field-Tested),11.579120000000001,
StatTrak™ AK-47 | Rat Rod (Battle-Scarred),7.7924,
M4A1-S | Master Piece (Factory New),66.5252,
StatTrak™ Galil AR | Rocket Pop (Factory New),9.16412,
Five-SeveN | Angry Mob (Factory New),7.438200000000001,
SSG 08 | Sand Dune (Factory New),8.352680000000001,
StatTrak™ M4A4 | The Emperor (Field-Tested),37.294039999999995,
Glock-18 | Synth Leaf (Factory New),38.11836,
P90 | Trigon (Field-Tested),3.0912,
AK-47 | Wasteland Rebel (Field-Tested),18.244519999999998,
★ Ursus Knife | Urban Masked (Well-Worn),60.117399999999996,
★ Classic Knife | Stained (Field-Tested),85.83232000000001,
★ Hand Wraps | Spruce DDPAT (Field-Tested),90.21796,
AK-47 | Jungle Spray (Minimal Wear),5.20352,
M4A4 | Zirka (Factory New),15.28212,
USP-S | Blueprint (Factory New),12.7512,
Glock-18 | Brass (Factory New),10.44568,
★ Nomad Knife | Fade (Factory New),314.11744,
★ StatTrak™ Butterfly Knife | Safari Mesh (Field-Tested),180.64844,
★ Flip Knife | Boreal Forest (Minimal Wear),74.81992000000001,
StatTrak™ Desert Eagle | Conspiracy (Factory New),15.41092,
StatTrak™ M4A1-S | Golden Coil (Factory New),110.85172,
★ Survival Knife | Forest DDPAT (Field-Tested),69.92552,
Dust II Pin,22.765400000000003,
M4A1-S | Hyper Beast (Factory New),40.46896,
Glock-18 | Water Elemental (Factory New),7.14196,
StatTrak™ MAC-10 | Stalker (Field-Tested),19.72572,
Desert Eagle | Night (Factory New),17.75508,
SG 553 | Colony IV (Factory New),14.380519999999999,
StatTrak™ Glock-18 | Water Elemental (Factory New),23.78292,
StatTrak™ AK-47 | Elite Build (Factory New),15.726480000000002,
StatTrak™ R8 Revolver | Crimson Web (Factory New),15.23704,
StatTrak™ Desert Eagle | Crimson Web (Minimal Wear),36.25076,
UMP-45 | Primal Saber (Factory New),4.91372,
StatTrak™ SG 553 | Cyrex (Field-Tested),7.013160000000001,
P90 | Asiimov (Well-Worn),5.313,
P90 | Death by Kitty (Minimal Wear),37.77704,
Katowice 2019 Viewer Pass,22.97792,
M4A4 | Asiimov (Field-Tested),84.63448,
AK-47 | Bloodsport (Factory New),45.646719999999995,
AWP | Elite Build (Factory New),13.60772,
Desert Eagle | Pilot (Factory New),68.99172,
AK-47 | Orbit Mk01 (Factory New),10.41992,
USP-S | Dark Water (Field-Tested),17.36224,
StatTrak™ Glock-18 | Wasteland Rebel (Minimal Wear),16.51216,
Desert Eagle | Sunset Storm 弐 (Factory New),69.50048,
M4A1-S | Cyrex (Factory New),9.499,
★ Ursus Knife | Damascus Steel (Field-Tested),76.2174,
★ Flip Knife | Marble Fade (Minimal Wear),197.61140000000003,
★ Ursus Knife | Blue Steel (Field-Tested),81.40804,
★ Ursus Knife | Slaughter (Factory New),208.56584,
★ Skeleton Knife | Scorched (Field-Tested),187.26232,
★ Classic Knife | Safari Mesh (Field-Tested),69.05612,
★ Flip Knife | Ultraviolet (Minimal Wear),111.01916,
★ Flip Knife | Stained (Minimal Wear),72.7398,
M4A4 | Daybreak (Factory New),70.5502,
★ Flip Knife | Scorched (Field-Tested),62.03652,
StatTrak™ P250 | Cartel (Field-Tested),6.00852,
★ Ursus Knife | Safari Mesh (Minimal Wear),63.8204,
StatTrak™ AK-47 | Cartel (Factory New),31.74276,
Chroma Pin,10.92224,
StatTrak™ AK-47 | Asiimov (Field-Tested),46.876760000000004,
StatTrak™ AK-47 | Bloodsport (Factory New),117.93572,
StatTrak™ AWP | Hyper Beast (Battle-Scarred),29.60468,
★ Stiletto Knife | Safari Mesh (Battle-Scarred),56.2856,
Guardian Elite Pin,25.71492,
StatTrak™ AK-47 | Redline (Minimal Wear),122.50811999999999,
StatTrak™ P90 | Shapewood (Field-Tested),3.99924,
Bloodhound Pin,7.0840000000000005,
StatTrak™ M4A4 | The Battlestar (Factory New),36.836800000000004,
★ M9 Bayonet | Urban Masked (Field-Tested),115.68172,
StatTrak™ MP7 | Bloodsport (Field-Tested),4.85576,
M4A4 | 龍王 (Dragon King) (Field-Tested),6.07292,
AWP | Pink DDPAT (Field-Tested),10.54872,
★ StatTrak™ Bayonet,246.60048,
Desert Eagle | Mecha Industries (Field-Tested),3.2328799999999998,
P90 | Nostalgia (Minimal Wear),3.76096,
StatTrak™ SG 553 | Phantom (Factory New),2.6082,
StatTrak™ AWP | Elite Build (Factory New),38.75592,
StatTrak™ Glock-18 | Moonrise (Factory New),3.90264,
StatTrak™ P250 | Asiimov (Minimal Wear),46.16192,
Desert Eagle | Hypnotic (Factory New),39.97308,
AK-47 | First Class (Factory New),38.936240000000005,
StatTrak™ P250 | See Ya Later (Battle-Scarred),5.873279999999999,
Desert Eagle | Mecha Industries (Factory New),6.64608,
M4A4 | Neo-Noir (Battle-Scarred),6.575240000000001,
Souvenir CZ75-Auto | Chalice (Factory New),51.52,
M4A1-S | Hyper Beast (Minimal Wear),15.41092,
StatTrak™ AK-47 | Blue Laminate (Minimal Wear),14.026320000000002,
M4A4 | Desolate Space (Minimal Wear),10.1108,
MP7 | Fade (Factory New),8.86144,
